Id,Brand,Product,Quantity,Price,MRP,rebate,stock,Category,image_small
100,GoodDiet,Nutrition Energy Bar - Almonds & Raisins,3x40 g Multipack ,129.01,156,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/1205652_1-gooddiet-nutrition-energy-bar-almonds-raisins.jpg
101,GoodDiet,Nutrition Energy Bar - Dates & Walnut,3x40 g Multipack ,129.01,156,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/1205661_1-gooddiet-nutrition-energy-bar-dates-walnut.jpg
102,Blue Bird,Pasta - Elbow Macaroni,500 g Pouch,114,114,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/30006848_2-blue-bird-pasta-elbow-macaroni.jpg
103,KiddleMe,Tomatino - Tomato Vegetable Wheat Pasta,200 g ,129,129,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/40207049_1-kiddleme-tomatino-tomato-vegetable-wheat-pasta.jpg
104,Nutralite,"Choco Spread Crunchy Quinoa, Hazelnut Spread, Uses Premium Chocolate",100 g Jar ,129,129,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/40200031_2-nutralite-choco-spread-crunchy-quinoa-hazelnut-spread-uses-premium-chocolate.jpg
105,Nutralite,"Choco Spread Calcium, Hazelnut Spread, Uses Premium Chocolate",100 g Jar,129,129,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/40200029_2-nutralite-choco-spread-calcium-hazelnut-spread-uses-premium-chocolate.jpg
106,Cadbury,Celebrations Chocolate Gift Box - Rich Dry Fruit,2x177 g Multipack ,1000,1000,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/1208475_5-cadbury-celebrations-chocolate-gift-box-rich-dry-fruit.jpg
107,Cadbury,Silk Dairy Milk - Silk Miniatures Collection,2x240 g Multipack ,1060,1060,0,100,snacks branded foods,https://www.bigbasket.com/media/uploads/p/l/1208476_8-cadbury-silk-dairy-milk-silk-miniatures-collection.jpg
108,Nandini,Cooking Butter - Unsalted,2x500 g Multipack ,374.14,440,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/1213687_1-nandini-cooking-butter-unsalted.jpg
109,Amul,Butter - Pasteurised,200 g Tub,93,102,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/40045943_1-amul-butter-pasteurised.jpg
